family,episode_id,sample_index,timestamp_s,selected_action,step_index,constraint,pre,post,removed,added,collapse_source
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,365,35.7642,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,365,35.7642,BACKUP,3,bc_recurrent_escape,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,391,38.3283,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,391,38.3283,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,427,41.8248,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,427,41.8248,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,472,46.2537,WAIT,1,bc_yield_mask,"0,1,21,22","0,21,22",SUBGOAL_1,,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,472,46.2537,WAIT,2,bc_closing_side,"0,21,22","0,21,22",,,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,483,47.3526,WAIT,1,bc_yield_mask,"0,1,2,3,9,21,22","0,21,22","SUBGOAL_1,SUBGOAL_2,SUBGOAL_3,SUBGOAL_9",,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,483,47.3526,WAIT,2,bc_closing_side,"0,21,22","0,21,22",,,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,493,48.3183,WAIT,1,bc_yield_mask,"0,1,2,3,9,10,21,22","0,21,22","SUBGOAL_1,SUBGOAL_2,SUBGOAL_3,SUBGOAL_9,SUBGOAL_10",,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,493,48.3183,WAIT,2,bc_closing_side,"0,21,22","0,21,22",,,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,544,53.3466,SUBGOAL_0,1,bc_yield_mask,"0,21,22","0,21,22",,,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,544,53.3466,SUBGOAL_0,2,bc_closing_side,"0,21,22","0,21,22",,,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,544,53.3466,SUBGOAL_0,3,UNLOGGED_AFTER_bc_closing_side_BEFORE_bc_recurrent_escape,"0,21,22",0,"WAIT,BACKUP",,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,544,53.3466,SUBGOAL_0,4,bc_recurrent_escape,0,0,,,NOT_COLLAPSED_TO_WAIT_BACKUP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,707,69.3306,REPLAN,,,unknown,unknown,,,NO_PARSEABLE_MASK_STEP
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,869,85.31460000000001,CONTINUE,,,unknown,unknown,,,NO_PARSEABLE_MASK_STEP
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,53,5.328000000000003,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
