family,cycle_index,dominant_failure_at_trigger,duration_s,original_goal_progress_m,progress_class,completed_rejoin,action_signature,reason_signature,learned_decision_count
recurrent_bidirectional_crossing,7,NO_POSITIVE_FAILURE_SCORE,4.462,-0.281429,nonpositive,True,WAIT>BACKUP>WAIT>BACKUP>WAIT>CONTINUE,emergency_stop>emergency_backup>emergency_stop>emergency_backup>emergency_stop>emergency_turn_right>emergency_clear_continue_goal,0
recurrent_bidirectional_crossing,8,NO_POSITIVE_FAILURE_SCORE,4.629,0.169412,positive,False,CONTINUE>WAIT>CONTINUE>WAIT>CONTINUE>WAIT>BACKUP>WAIT,bc_onnx confidence=0.511 latency_ms=0.332>emergency_stop>safety_clear_resume_rejoin>emergency_stop>safety_clear_resume_rejoin>emergency_stop>emergency_backup>emergency_stop,1
narrow_corridor_head_on_deadlock,1,NO_POSITIVE_FAILURE_SCORE,2.198,-0.149849,nonpositive,True,WAIT>BACKUP>WAIT>CONTINUE,emergency_stop>emergency_backup>emergency_stop>emergency_clear_continue_goal,0
narrow_corridor_head_on_deadlock,2,NO_POSITIVE_FAILURE_SCORE,47.419,-0.213122,nonpositive,False,WAIT>BACKUP>CONTINUE>BACKUP>WAIT>CONTINUE>WAIT>CONTINUE>WAIT>CONTINUE>WAIT>BACKUP>WAIT>BACKUP>WAIT>BACKUP>WAIT>BACKUP>WAIT>BACKUP>WAIT>BACKUP>WAIT,"emergency_stop>emergency_backup>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=2.058 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.606 latency_ms=0.406>emergency_stop>bc_directional_yield=active forward_clearance_m=2.146 clear_frames=0; bc_yield_mask=active pre=21 post=21; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21 post=21; bc_onnx confidence=1.000 latency_ms=0.139>bc_directional_yield=active forward_clearance_m=2.155 clear_frames=0; bc_yield_mask=active pre=21 post=21; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21 post=21; bc_onnx confidence=1.000 latency_ms=0.155>bc_directional_yield=active forward_clearance_m=2.160 clear_frames=2; bc_yield_mask=active pre=21 post=21; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21 post=21; bc_onnx confidence=1.000 latency_ms=0.136>recovery_action_complete>emergency_stop>safety_clear_resume_rejoin>emergency_stop>safety_clear_resume_rejoin>emergency_stop>emergency_backup>emergency_stop>emergency_backup>emergency_stop>emergency_backup>emergency_stop>emergency_forward>emergency_stop>emergency_backup>emergency_stop>emergency_backup>emergency_stop>emergency_forward>emergency_stop>emergency_backup>emergency_stop",4
closing_gap_multi_pedestrian,1,COLLISION_RISK,7.592,-0.46065,nonpositive,True,WAIT>BACKUP>CONTINUE>BACKUP>CONTINUE,"emergency_stop>emergency_backup>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.974 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.742 latency_ms=0.354>recovery_action_complete>original_goal_restored",1
closing_gap_multi_pedestrian,2,COLLISION_RISK,7.526,-0.465713,nonpositive,True,WAIT>BACKUP>CONTINUE>BACKUP>CONTINUE,"emergency_stop>emergency_backup>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.966 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.561 latency_ms=0.159>recovery_action_complete>original_goal_restored",1
closing_gap_multi_pedestrian,3,COLLISION_RISK,8.025,-0.031345,nonpositive,True,WAIT>BACKUP>WAIT>CONTINUE>WAIT>CONTINUE,"emergency_stop>emergency_backup>emergency_stop>emergency_turn_left>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.937 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=left_occupied right_beams=2 left_beams=7 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=1 latched_right=0 latched_left=1 pre=21,22 post=21,22; bc_recurrent_escape=unavailable cause=unilateral_flow count=1 minimum_lateral_m=0.250 lateral_ids=0,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20 pre=21,22 final=21,22; bc_onnx confidence=0.947 latency_ms=0.160>bc_directional_yield=active forward_clearance_m=0.931 clear_frames=1; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=1 pre=21,22 post=21,22; bc_recurrent_escape=unavailable cause=unilateral_flow count=1 minimum_lateral_m=0.250 lateral_ids=0,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20 pre=21,22 final=21,22; bc_onnx confidence=0.952 latency_ms=0.170>recovery_action_complete>original_goal_restored",2
closing_gap_multi_pedestrian,4,COLLISION_RISK,9.49,-0.66265,nonpositive,True,WAIT>CONTINUE>BACKUP>WAIT>BACKUP>CONTINUE,"emergency_stop>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.533 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.504 latency_ms=0.152>bc_directional_yield=active forward_clearance_m=0.805 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=2 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=-0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.526 latency_ms=0.147>bc_directional_yield=active forward_clearance_m=0.832 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.543 latency_ms=0.134>bc_directional_yield=active forward_clearance_m=0.811 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.542 latency_ms=0.137>bc_directional_yield=active forward_clearance_m=0.823 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.132>recovery_timeout>original_goal_restored",5
closing_gap_multi_pedestrian,5,COLLISION_RISK,7.026,-0.468928,nonpositive,True,WAIT>BACKUP>CONTINUE>BACKUP>CONTINUE,"emergency_stop>emergency_backup>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=1.019 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.142>recovery_action_complete>original_goal_restored",1
closing_gap_multi_pedestrian,6,COLLISION_RISK,6.061,-0.609335,nonpositive,False,WAIT>BACKUP>CONTINUE>BACKUP,"emergency_stop>emergency_backup>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.905 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=1 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.140",1
