family_index,family,episode_id,sample_index,timestamp_s,action_id,action_name,allowed_action_ids_text,mask_parseable,only_wait_backup_allowed,alternative_action_available,selected_wait_or_backup,selected_action_in_logged_mask,next_event_origin,next_event_action,next_event_delay_s,immediately_followed_by_emergency_guard
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,578,57.908699999999996,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,0.999,False
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,588,58.907700000000006,21,WAIT,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,2.4309,False
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,648,64.9017,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,2.4642,False
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,673,67.3659,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,0.999,False
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,683,68.3649,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,0.999,False
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,693,69.3639,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,0.999,False
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,703,70.3629,22,BACKUP,"21,22",True,True,False,True,True,OTHER,CONTINUE,2.5308,False
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,769,76.9896,22,BACKUP,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,3.9294,False
4,closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,863,86.4468,22,BACKUP,"21,22",True,True,False,True,True,,,,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,445,44.622,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,0.999,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,455,45.620999999999995,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,0.999,False
5,lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,465,46.620000000000005,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,0.999,False
