family,episode_id,sample_index,timestamp_s,collision_risk,corridor_width_m_assumed,logged_subgoal_count,scan_subgoal_count,replayed_subgoal_count,logged_subgoal_ids,scan_subgoal_ids,replayed_subgoal_ids,logged_not_in_replay,replay_not_in_logged,exact_subgoal_match,logged_is_subset_of_replay,logged_empty_explained
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,703,70.3629,0.0,0.65,0,4,1,,"0,1,6,7",1,,1,False,True,False
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,769,76.9896,0.75,0.65,0,1,1,,0,0,,0,False,True,False
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,863,86.4468,0.75,0.65,0,0,0,,,,,,True,True,True
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,445,44.622,0.75,0.65,0,0,0,,,,,,True,True,True
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,455,45.620999999999995,0.75,0.65,0,0,0,,,,,,True,True,True
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,465,46.620000000000005,0.75,0.65,0,0,0,,,,,,True,True,True
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,475,47.619,0.0,0.65,0,5,5,,"0,1,4,5,6","0,1,4,5,6",,"0,1,4,5,6",False,True,False
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,530,53.1468,1.0,0.65,0,0,0,,,,,,True,True,True
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,565,56.643299999999996,0.0,0.65,3,9,6,"0,1,2","0,1,2,3,4,5,7,8,9","0,1,2,3,4,5",,"3,4,5",False,True,False
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,664,66.6,0.75,0.65,0,1,1,,0,0,,0,False,True,False
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,699,70.1298,0.0,0.65,2,7,5,"0,1","0,1,2,3,7,8,9","0,1,2,3,9",,"2,3,9",False,True,False
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,769,77.0895,0.75,0.65,0,0,0,,,,,,True,True,True
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,799,80.0865,0.0,0.65,0,8,7,,"0,1,3,4,5,6,8,13","0,1,3,4,5,6,8",,"0,1,3,4,5,6,8",False,True,False
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,419,41.991299999999995,1.0,0.65,0,0,0,,,,,,True,True,True
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,428,42.9237,0.75,0.65,0,0,0,,,,,,True,True,True
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,438,43.956,1.0,0.65,0,0,0,,,,,,True,True,True
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,463,46.453500000000005,0.75,0.65,0,1,1,,0,0,,0,False,True,False
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,473,47.4525,0.75,0.65,0,1,1,,0,0,,0,False,True,False
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,583,58.441500000000005,0.75,0.65,0,1,1,,0,0,,0,False,True,False
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,667,66.8997,0.75,0.65,0,0,0,,,,,,True,True,True
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,802,80.4195,0.75,0.65,1,4,2,0,"0,1,7,14","0,1",,1,False,True,False
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,867,86.913,0.0,0.65,5,11,6,"2,3,4,11,18","0,1,2,3,4,5,8,9,10,11,18","0,1,2,3,4,5","11,18","0,1,5",False,False,False
goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,776,77.7222,0.75,0.65,0,1,1,,0,0,,0,False,True,False
goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,815,81.6516,0.75,0.65,0,1,0,,0,,,,True,True,True
goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,830,83.1501,1.0,0.65,1,0,0,0,,,0,,False,False,False
goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,839,84.0492,1.0,0.65,1,1,0,0,0,,0,,False,False,False
goal_approach_lateral_interruption,pgrr_extpilot_f07_goal_approach_lateral_interruption_low_train_r00_s91700_pgrr,849,85.0815,0.75,0.65,2,1,0,"0,1",0,,"0,1",,False,False,False
