row_type,project_commit,source_policy,method,manifest_episode_count,algorithm_episode_count,excluded_episode_count,physical_attempt_count,excluded_attempt_count,simulator_failure_count,invalid_reset_count,goal_reached_count,goal_reached_rate,success_count,success_rate,collision_count,collision_rate,timeout_count,timeout_rate,planner_failure_count,planner_failure_rate,episode_duration_s_mean,episode_duration_s_std,episode_duration_s_median,path_length_m_mean,path_length_m_std,path_length_m_median,spl_mean,spl_std,spl_median,min_human_distance_m_mean,min_human_distance_m_std,min_human_distance_m_median,personal_space_violation_ratio_mean,personal_space_violation_ratio_std,personal_space_violation_ratio_median,discomfort_time_s_mean,discomfort_time_s_std,discomfort_time_s_median,emergency_stop_count_mean,emergency_stop_count_std,emergency_stop_count_median,recovery_trigger_count_mean,recovery_trigger_count_std,recovery_trigger_count_median,recovery_success_rate_mean,recovery_success_rate_std,recovery_success_rate_median,intervention_ratio_mean,intervention_ratio_std,intervention_ratio_median,mean_abs_angular_jerk_rad_s3_mean,mean_abs_angular_jerk_rad_s3_std,mean_abs_angular_jerk_rad_s3_median,comparison,metric,test,estimate,ci_low,ci_high,p_value,p_value_holm,effect_size,n_pairs,population
method_summary,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,base,base,24.0,24.0,0.0,25.0,1.0,0.0,1.0,5.0,0.20833333333333334,5.0,0.20833333333333334,19.0,0.7916666666666666,0.0,0.0,0.0,0.0,48.75536249999999,22.543011029909458,42.74055,11.106271890769904,5.318007037969527,10.118049859319303,0.20516073432012327,0.40865354937986176,0.0,1.3181260946037645,1.311486220514043,0.699743684482109,0.08340787091777076,0.07292925332045479,0.08843672887839658,2.2671749999999995,2.854287753881258,1.4985,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.039511983134087915,0.038748760364215866,0.030094845858342663,0.4429092577128642,0.2962352474838939,0.4483936619994038,,,,,,,,,,,
method_summary,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,bc,bc,24.0,24.0,0.0,26.0,2.0,1.0,1.0,8.0,0.3333333333333333,8.0,0.3333333333333333,0.0,0.0,16.0,0.6666666666666666,0.0,0.0,157.267575,37.270176126696796,179.91989999999998,21.578214696222478,4.187699207263531,21.585180200033506,0.3028816188253889,0.44014784774092464,0.0,1.2668597267823873,0.5806897293581259,1.0476878349709395,0.13411766689323398,0.13330635357897636,0.10641536343102868,1.577587499999994,3.529292029179241,0.0,14.333333333333334,8.859613627195511,17.0,5.208333333333333,3.4512652584317496,5.0,0.7363046044864228,0.15335415722572274,0.7386363636363636,0.619219955461442,0.30000034030052203,0.7436199575971347,1.0176875604010247,0.5052466188428998,1.1206757400711607,,,,,,,,,,,
method_summary,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,heuristic,heuristic,8.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.125,1.0,0.125,0.0,0.0,7.0,0.875,0.0,0.0,173.63036250000002,17.8837028062613,179.95319999999998,17.795223416802298,6.3982768553561735,18.24275782089364,0.10814367140753793,0.30587649357871927,0.0,1.0916000669410169,0.30573148156439367,0.9856025289620343,0.14350645740035833,0.1953443198905145,0.0737818499476531,1.3736250000000005,2.193525225847331,0.49950000000000117,14.125,8.078852464481397,14.0,6.125,4.051013982414068,5.0,0.6287233599733599,0.3162250493021725,0.7321428571428572,0.7569931369844358,0.1957329644010564,0.806885067278329,0.8511020725461214,0.24972016658988197,0.8157106397455246,,,,,,,,,,,
method_summary,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,standard,standard,8.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.125,1.0,0.125,7.0,0.875,0.0,0.0,0.0,0.0,44.7094125,30.299946583801926,35.24805,9.695733634493171,6.7141049378466064,7.564390854121554,0.10563589028578138,0.29878341743101666,0.0,1.0082807175421997,0.9490547320588374,0.6987638598670972,0.11722847431945371,0.07397062602197155,0.13301983342744236,3.500662500000002,4.660825432393926,1.515150000000002,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0502222007640942,0.040237985014937604,0.038213850631899256,0.4599629078798681,0.26130241507392904,0.41096931732286357,,,,,,,,,,,
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,goal_reached,McNemar exact,0.125,0.0,0.2916666666666667,0.25,0.75,7.0,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,collision,McNemar exact,-0.7916666666666666,-0.9166666666666666,-0.625,3.814697265625e-06,4.1961669921875e-05,0.02564102564102564,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,timeout,McNemar exact,0.6666666666666666,0.4583333333333333,0.8333333333333334,3.0517578125e-05,0.00030517578125,33.0,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,successful_episode_duration_s,Wilcoxon signed-rank,9.43056000000001,-2.1245399999999934,30.775860000000012,1.0,1.0,0.06666666666666667,5.0,joint_success
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,successful_path_length_m,Wilcoxon signed-rank,0.6329122647406116,-0.43886819099368524,2.3600331344421512,1.0,1.0,-0.06666666666666667,5.0,joint_success
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,spl,Wilcoxon signed-rank,0.09772088450526561,-0.0037365387575977967,0.22187055750785506,0.17295491798842066,0.6918196719536827,0.6190476190476191,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,min_human_distance_m,Wilcoxon signed-rank,-0.05126636782137702,-0.4977932612707007,0.2505144292821192,0.036649227142333984,0.2565445899963379,0.4866666666666667,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,personal_space_violation_ratio,Wilcoxon signed-rank,0.05070979597546323,0.0019599631455360874,0.10192877626711774,0.05816656898450356,0.3489994139070213,0.5087719298245614,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,discomfort_time_s,Wilcoxon signed-rank,-0.6895875000000055,-2.3601375,1.130847187499978,0.13531865405496815,0.6765932702748407,-0.4117647058823529,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,emergency_stop_count,Wilcoxon signed-rank,14.333333333333334,10.791666666666666,17.791666666666668,5.895979724280735e-05,0.0004716783779424588,1.0,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,recovery_trigger_count,Wilcoxon signed-rank,5.208333333333333,3.9166666666666665,6.583333333333333,3.87560331067397e-05,0.0003488042979606573,1.0,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,intervention_ratio,Wilcoxon signed-rank,0.579707972327354,0.4622939470844391,0.6882315338057017,3.5762786865234375e-07,4.649162292480469e-06,0.9866666666666667,24.0,all_valid_pairs
statistic,35d7e601cd6f5baf168948a7174cd32fa9c37c5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs Triggered DAgger,mean_abs_angular_jerk_rad_s3,Wilcoxon signed-rank,0.5747783026881605,0.40745209888576656,0.7482560094827483,5.960464477539062e-07,7.152557373046875e-06,0.98,24.0,all_valid_pairs
