case_number,pair_id,family,density,method,episode_id,outcome,episode_duration_s,path_length_m,min_human_distance_m,recovery_trigger_count,terminal_goal_distance_m,raw_sidecars_locally_verified
4,head_on_corridor_high_test_moderate_v6_r03_s87023_seed87023,head_on_corridor,high,pgrr,head_on_corridor_high_test_moderate_v6_r03_s87023_eval_pgrr_r95ec74c511bb_a0_dwb,GOAL_REACHED,107.45909999999999,22.65725829598973,0.7435419765643466,2,0.1801841642248324,False
4,head_on_corridor_high_test_moderate_v6_r03_s87023_seed87023,head_on_corridor,high,standard,head_on_corridor_high_test_moderate_v6_r03_s87023_eval_standard_r95ec74c511bb_a0_dwb,COLLISION,22.2777,5.284568786621094,0.7034097942586044,0,15.723177515779449,False
5,temporary_blockage_high_test_moderate_v6_r00_s87720_seed87720,temporary_blockage,high,base,temporary_blockage_high_test_moderate_v6_r00_s87720_eval_base_r95ec74c511bb_a0_dwb,COLLISION,29.304,6.95364735234352,0.7088575118187239,0,10.126065531126947,False
5,temporary_blockage_high_test_moderate_v6_r00_s87720_seed87720,temporary_blockage,high,bc_uniform,temporary_blockage_high_test_moderate_v6_r00_s87720_eval_bc_uniform_r95ec74c511bb_a0_dwb,TIMEOUT,239.9598,10.856264569646921,0.7554783170087368,10,8.317982249316632,False
5,temporary_blockage_high_test_moderate_v6_r00_s87720_seed87720,temporary_blockage,high,heuristic,temporary_blockage_high_test_moderate_v6_r00_s87720_eval_heuristic_r95ec74c511bb_a0_dwb,GOAL_REACHED,125.74080000000001,22.075463248972728,0.820006265509379,11,0.20046687229706064,False
5,temporary_blockage_high_test_moderate_v6_r00_s87720_seed87720,temporary_blockage,high,pgrr,temporary_blockage_high_test_moderate_v6_r00_s87720_eval_pgrr_r95ec74c511bb_a0_dwb,GOAL_REACHED,150.4827,24.141584140982197,0.797229940616699,9,0.19965011160348303,False
5,temporary_blockage_high_test_moderate_v6_r00_s87720_seed87720,temporary_blockage,high,standard,temporary_blockage_high_test_moderate_v6_r00_s87720_eval_standard_r95ec74c511bb_a0_dwb,COLLISION,29.2041,6.8639870625685555,0.6989491712667678,0,10.200832645703048,False
6,blind_corner_high_test_moderate_v6_r00_s87320_seed87320,blind_corner,high,base,blind_corner_high_test_moderate_v6_r00_s87320_eval_base_r95ec74c511bb_a0_dwb,COLLISION,45.387899999999995,10.789085981172173,0.7091992279120768,0,9.401796111026895,False
6,blind_corner_high_test_moderate_v6_r00_s87320_seed87320,blind_corner,high,bc_uniform,blind_corner_high_test_moderate_v6_r00_s87320_eval_bc_uniform_r95ec74c511bb_a0_dwb,GOAL_REACHED,140.09310000000002,24.918644372800365,0.7904376659835236,12,0.19278324093086088,False
6,blind_corner_high_test_moderate_v6_r00_s87320_seed87320,blind_corner,high,heuristic,blind_corner_high_test_moderate_v6_r00_s87320_eval_heuristic_r95ec74c511bb_a0_dwb,TIMEOUT,239.95979999999997,20.53293895258754,0.7837203653470676,7,5.068535969836274,False
6,blind_corner_high_test_moderate_v6_r00_s87320_seed87320,blind_corner,high,pgrr,blind_corner_high_test_moderate_v6_r00_s87320_eval_pgrr_r95ec74c511bb_a0_dwb,GOAL_REACHED,136.46339999999998,24.522872478662165,0.7938196847874367,14,0.2133572138672108,False
6,blind_corner_high_test_moderate_v6_r00_s87320_seed87320,blind_corner,high,standard,blind_corner_high_test_moderate_v6_r00_s87320_eval_standard_r95ec74c511bb_a0_dwb,COLLISION,66.0672,15.893046739878649,0.719978888234324,0,4.981537351013194,False
7,head_on_corridor_high_test_moderate_v6_r04_s87024_seed87024,head_on_corridor,high,base,head_on_corridor_high_test_moderate_v6_r04_s87024_eval_base_r95ec74c511bb_a0_dwb,COLLISION,20.5461,4.806556701660156,0.7051834116543371,0,16.20210171022717,False
7,head_on_corridor_high_test_moderate_v6_r04_s87024_seed87024,head_on_corridor,high,bc_uniform,head_on_corridor_high_test_moderate_v6_r04_s87024_eval_bc_uniform_r95ec74c511bb_a0_dwb,GOAL_REACHED,102.6306,21.74504439590815,0.7214051722963707,2,0.25208580526427093,False
7,head_on_corridor_high_test_moderate_v6_r04_s87024_seed87024,head_on_corridor,high,heuristic,head_on_corridor_high_test_moderate_v6_r04_s87024_eval_heuristic_r95ec74c511bb_a0_dwb,PLANNER_FAILURE,62.80380000000001,5.499057254942617,0.7198142708110555,1,17.99683732937118,False
7,head_on_corridor_high_test_moderate_v6_r04_s87024_seed87024,head_on_corridor,high,pgrr,head_on_corridor_high_test_moderate_v6_r04_s87024_eval_pgrr_r95ec74c511bb_a0_dwb,GOAL_REACHED,114.41879999999999,23.721880355660065,0.7136426346450914,4,0.25911157371347887,False
7,head_on_corridor_high_test_moderate_v6_r04_s87024_seed87024,head_on_corridor,high,standard,head_on_corridor_high_test_moderate_v6_r04_s87024_eval_standard_r95ec74c511bb_a0_dwb,COLLISION,20.8125,4.899971507206758,0.7068288399469274,0,16.100028446838806,False
8,temporary_blockage_high_test_moderate_v6_r01_s87721_seed87721,temporary_blockage,high,base,temporary_blockage_high_test_moderate_v6_r01_s87721_eval_base_r95ec74c511bb_a0_dwb,COLLISION,28.704599999999996,6.759533421798393,0.6768768738531173,0,10.386175447897205,False
8,temporary_blockage_high_test_moderate_v6_r01_s87721_seed87721,temporary_blockage,high,bc_uniform,temporary_blockage_high_test_moderate_v6_r01_s87721_eval_bc_uniform_r95ec74c511bb_a0_dwb,GOAL_REACHED,88.9776,17.89932569362114,0.8747029281384432,9,0.19028379748036056,False
8,temporary_blockage_high_test_moderate_v6_r01_s87721_seed87721,temporary_blockage,high,heuristic,temporary_blockage_high_test_moderate_v6_r01_s87721_eval_heuristic_r95ec74c511bb_a0_dwb,PLANNER_FAILURE,157.47570000000002,14.481838407285096,0.7975526565264666,14,10.140976992461109,False
8,temporary_blockage_high_test_moderate_v6_r01_s87721_seed87721,temporary_blockage,high,pgrr,temporary_blockage_high_test_moderate_v6_r01_s87721_eval_pgrr_r95ec74c511bb_a0_dwb,GOAL_REACHED,92.1078,18.846971908827683,0.8229939590994896,4,0.23827144504451386,False
8,temporary_blockage_high_test_moderate_v6_r01_s87721_seed87721,temporary_blockage,high,standard,temporary_blockage_high_test_moderate_v6_r01_s87721_eval_standard_r95ec74c511bb_a0_dwb,COLLISION,28.7379,6.788580502720619,0.6909906433859733,0,10.392180766891032,False
