row_type,project_commit,source_policy,method,manifest_episode_count,algorithm_episode_count,excluded_episode_count,physical_attempt_count,excluded_attempt_count,simulator_failure_count,invalid_reset_count,goal_reached_count,goal_reached_rate,success_count,success_rate,collision_count,collision_rate,timeout_count,timeout_rate,planner_failure_count,planner_failure_rate,episode_duration_s_mean,episode_duration_s_std,episode_duration_s_median,path_length_m_mean,path_length_m_std,path_length_m_median,spl_mean,spl_std,spl_median,min_human_distance_m_mean,min_human_distance_m_std,min_human_distance_m_median,personal_space_violation_ratio_mean,personal_space_violation_ratio_std,personal_space_violation_ratio_median,discomfort_time_s_mean,discomfort_time_s_std,discomfort_time_s_median,emergency_stop_count_mean,emergency_stop_count_std,emergency_stop_count_median,recovery_trigger_count_mean,recovery_trigger_count_std,recovery_trigger_count_median,recovery_success_rate_mean,recovery_success_rate_std,recovery_success_rate_median,intervention_ratio_mean,intervention_ratio_std,intervention_ratio_median,mean_abs_angular_jerk_rad_s3_mean,mean_abs_angular_jerk_rad_s3_std,mean_abs_angular_jerk_rad_s3_median,comparison,metric,test,estimate,ci_low,ci_high,p_value,p_value_holm,effect_size,n_pairs,population
method_summary,6916e7cd586acfbe200045e49b093039e2a6980e,base,base,120.0,120.0,0.0,124.0,4.0,2.0,2.0,85.0,0.7083333333333334,85.0,0.7083333333333334,35.0,0.2916666666666667,0.0,0.0,0.0,0.0,72.0131925,25.188554940243684,88.82775000000001,16.882176032180055,5.868559643610308,20.793347859999074,0.7030398912800683,0.4535752990423298,1.0,0.8916321523588003,0.3049098370422956,0.8401027008909614,0.09377574322038956,0.07185291603037554,0.0769927400643663,3.2584049999999993,2.905977174601088,2.314350000000003,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03334730732691934,0.03288787941907805,0.024504235731976673,0.1826516702258753,0.2983210592603895,4.195644035124913e-08,,,,,,,,,,,
method_summary,6916e7cd586acfbe200045e49b093039e2a6980e,bc_uniform,bc_uniform,120.0,120.0,0.0,122.0,2.0,1.0,1.0,104.0,0.8666666666666667,104.0,0.8666666666666667,1.0,0.008333333333333333,5.0,0.041666666666666664,10.0,0.08333333333333333,106.31607749999999,34.00525095419913,97.45245,20.082453049055086,3.6273940504100834,20.819921767426983,0.8234104001650288,0.33045805729151984,0.9653959979366185,0.9507968535384337,0.15215685572765225,0.9293755838177287,0.14584368314668675,0.19860636371214466,0.06992497669846541,13.757340000000001,36.95541727264571,2.697300000000002,3.9,6.939595319129014,1.0,3.3583333333333334,4.963388367802368,2.0,0.6838192731258972,0.3870707921016206,1.0,0.22907751653631153,0.2056424261715688,0.1733844965937729,0.3682169574383749,0.24841239256508926,0.3940098051966656,,,,,,,,,,,
method_summary,6916e7cd586acfbe200045e49b093039e2a6980e,heuristic,heuristic,120.0,120.0,0.0,123.0,3.0,2.0,1.0,100.0,0.8333333333333334,100.0,0.8333333333333334,1.0,0.008333333333333333,6.0,0.05,13.0,0.10833333333333334,102.7829475,36.999884033306714,95.5044,19.45830844013651,4.275335425649836,20.798782293796663,0.7948704388858447,0.36171177013453526,0.9616845965016845,0.9296415381290912,0.1524929539787867,0.9101207812353662,0.17215247954217025,0.21152978209726214,0.08832601586904112,13.226760000000002,32.609992897286496,2.9137499999999985,4.066666666666666,7.032617086208554,1.0,3.433333333333333,5.524176554984848,1.0,0.6700598631291701,0.41520569093595966,1.0,0.2317313999926777,0.22101964536728236,0.16337281681038962,0.3512835517186729,0.29693827072406054,0.32858518552576654,,,,,,,,,,,
method_summary,6916e7cd586acfbe200045e49b093039e2a6980e,pgrr,pgrr,120.0,120.0,0.0,122.0,2.0,1.0,1.0,109.0,0.9083333333333333,109.0,0.9083333333333333,0.0,0.0,2.0,0.016666666666666666,9.0,0.075,105.39394500000002,27.49943901100484,97.78545,21.14928207375825,4.5660005721716495,21.119078103385252,0.8313946019812365,0.2802584777883664,0.9213169417026029,0.9490068069598088,0.1511639778643914,0.9450848379507866,0.13511530685443274,0.1821550900138133,0.06787609346455092,10.9221225,27.144571521415738,2.497500000000006,4.283333333333333,7.428294004731389,1.0,3.55,4.96178674784522,2.0,0.7052140734435435,0.3946154652786035,1.0,0.21968471909441903,0.18734171803819374,0.17132492573394903,0.3678072648037127,0.32787547712524295,0.3493974298825402,,,,,,,,,,,
method_summary,6916e7cd586acfbe200045e49b093039e2a6980e,standard,standard,120.0,120.0,0.0,123.0,3.0,2.0,1.0,81.0,0.675,81.0,0.675,39.0,0.325,0.0,0.0,0.0,0.0,70.30851,25.414127581676187,87.9786,16.529784264760757,5.940217831918159,20.7858591688211,0.6710016321559615,0.46800358046496304,1.0,0.9089543238254827,0.42100941464217523,0.8402831762641583,0.09215642300380453,0.06319489418776957,0.07716404494382018,3.09912,2.7460688836127574,2.1977999999999973,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03418155636249086,0.033199636196192435,0.02591672835049815,0.19740186846830635,0.3369685713924658,3.977550596631499e-08,,,,,,,,,,,
statistic,6916e7cd586acfbe200045e49b093039e2a6980e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs pgrr,goal_reached,McNemar exact,0.2,0.11666666666666667,0.275,3.032386302947998e-06,1.516193151473999e-05,10.6,120.0,all_valid_pairs
statistic,6916e7cd586acfbe200045e49b093039e2a6980e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs pgrr,collision,McNemar exact,-0.2916666666666667,-0.375,-0.21666666666666667,5.820766091346741e-11,5.238689482212067e-10,0.014084507042253521,120.0,all_valid_pairs
statistic,6916e7cd586acfbe200045e49b093039e2a6980e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs pgrr,timeout,McNemar exact,0.016666666666666666,0.0,0.041666666666666664,0.5,1.0,5.0,120.0,all_valid_pairs
statistic,6916e7cd586acfbe200045e49b093039e2a6980e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs pgrr,successful_episode_duration_s,Wilcoxon signed-rank,15.877279518072289,11.453514939759037,20.842760873493976,7.716325405799555e-11,6.173060324639644e-10,0.8221457257601836,83.0,joint_success
statistic,6916e7cd586acfbe200045e49b093039e2a6980e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWB vs pgrr,successful_path_length_m,Wilcoxon signed-rank,1.88557880235573,1.1940751533679017,2.693857840914751,1.9526359634233142e-08,1.1715815780539885e-07,0.7096959265633964,83.0,joint_success
