episode_id,scenario_id,seed,source_policy,outcome,sample_count,sim_duration_s,progress_m,min_human_distance_m,min_lidar_m,recovery_actions,raw_sha256
crossing_flow_high_train_s01220_gate3_base_dwb,crossing_flow_high_train_s01220,1220,base,COLLISION,350,34.7652,6.787477493286133,0.704123809800077,0.2900640368461609,0,9c4d84d5d6e9dc578a682f292996cd3fdca6c460acf52ab848acebbbc89072aa
crossing_flow_high_train_s01220_gate3_heuristic_dwb,crossing_flow_high_train_s01220,1220,heuristic,GOAL_REACHED,933,93.1401,20.813485875725746,1.1287473546913873,0.7713876962661743,39,14102f81e59568dfcab1b3d706efc5e691acda39516ad0a46453373668eaa87e
crossing_flow_high_train_s01220_gate3_oracle_dwb,crossing_flow_high_train_s01220,1220,oracle,GOAL_REACHED,938,93.6396,20.776657328009605,1.035879495526691,0.6048662066459656,83,db4b2a80f7b7daaab3cf72d227cc5c67bddf61120d51dd5d221db4167ed754b6
