episode_id,scenario_id,seed,source_policy,project_commit,outcome,sample_count,sim_duration_s,progress_m,actual_goal_distance_m,actual_goal_distance_source,max_localization_error_m,min_human_distance_m,min_lidar_m,recovery_actions,raw_sha256
temporary_blockage_high_validation_s02720_0205d6e_bc_r1_dwb,temporary_blockage_high_validation_s02720,2720,bc,0205d6e2744c064482d0600c0fd0df7b33d3fe75,GOAL_REACHED,802,80.919,16.799262389540672,0.19528014053007994,outcome_terminal_snapshot,0.12987093197718488,0.7807004149599492,0.40978214144706726,132,27349b57e0f9340cd2e05bcbd8313a753862527a647497abe9a464d833ef205f
temporary_blockage_high_validation_s02720_a26e3b6_bc_r1_dwb,temporary_blockage_high_validation_s02720,2720,bc,a26e3b6dc93a327d5a44c4fdb8e502fe44b91b2b,COLLISION,726,72.4941,8.227416038513184,8.7735909690021,outcome_terminal_snapshot,0.11624954327402512,0.7956848848675403,0.33080729842185974,288,7c8e6a1e3eebba5d8200d9ceeef682f2030a6750b61cfc781e9545b42dc27010
temporary_blockage_high_validation_s02720_9ef4d97_bc_r1_dwb,temporary_blockage_high_validation_s02720,2720,bc,9ef4d977e38b18e8599764f1aae984328b98771e,COLLISION,406,40.5261,8.127565383911133,8.878481116766586,outcome_terminal_snapshot,0.12990448048763126,0.704635180592078,0.3415473699569702,65,b2483a127ff834c19e84f64865d2a1115eb55865bfb75dcc574ed4c69c1f24d9
