episode_id,scenario_id,family,density,seed,planner_id,source_policy,outcome,sample_count,sim_duration_s,start_distance_m,end_distance_m,progress_m,min_human_distance_m,min_lidar_m,raw_sha256
crossing_flow_high_mining_seed00_reactive13_standard_dwb,crossing_flow_high_mining_seed00,crossing_flow,high,0,dwb,standard,COLLISION,637,32.3343,21.0,14.37187671661377,6.6281232833862305,0.7010551925135079,0.5147371292114258,48ba44972b7e1e013c71952a31139d825ead125dc9e64995bfaf430b7e79c4df
crossing_flow_high_mining_seed01_reactive13_standard_dwb,crossing_flow_high_mining_seed01,crossing_flow,high,1,dwb,standard,COLLISION,621,35.531099999999995,21.0,14.210819244384766,6.789180755615234,0.7078044155398299,0.3729907274246216,4ee8a4f398a28831af0684399b46472bd57c80f2efb9e7f39c0bdf0226328504
crossing_flow_high_mining_seed02_reactive13_standard_dwb,crossing_flow_high_mining_seed02,crossing_flow,high,2,dwb,standard,TIMEOUT,1509,119.94659999999999,21.0,10.805179595947266,10.194820404052734,0.8352256816649906,0.5291675329208374,64c02acc5755cf9415733f82cecc0831a2b5e4807bd141a5598a8e6d70df017b
crossing_flow_high_mining_seed03_reactive13_standard_dwb,crossing_flow_high_mining_seed03,crossing_flow,high,3,dwb,standard,COLLISION,796,49.084199999999996,21.0,12.789191246032715,8.210808753967285,0.6935944681177664,0.5169278979301453,d936e1db37470460228c3f540104ba25a7048a1682ead0f74ad560e66436420f
crossing_flow_high_mining_seed04_reactive13_standard_dwb,crossing_flow_high_mining_seed04,crossing_flow,high,4,dwb,standard,COLLISION,613,32.967,21.0,14.139872550964355,6.8601274490356445,0.6982411367200149,0.35810011625289917,603f9f3bc87f7ce8d974249d6047b38f1a2ca3068308af4946afcba00efa18e2
crossing_flow_high_mining_seed05_reactive13_standard_dwb,crossing_flow_high_mining_seed05,crossing_flow,high,5,dwb,standard,COLLISION,617,32.5008,21.0,14.148879051208496,6.851120948791504,0.704430361984503,0.3212035596370697,d14b64cc67da942493a8c98c7ce237f5a8b3dd45741667c13733d712b0919aee
crossing_flow_high_mining_seed06_reactive13_standard_dwb,crossing_flow_high_mining_seed06,crossing_flow,high,6,dwb,standard,COLLISION,621,31.468500000000002,21.0,14.136951446533203,6.863048553466797,0.7054166017897012,0.7821445465087891,fc28224978afacf2eb188d4a4a41d8a209fc21bebaa0ad413c7d0125d33188da
crossing_flow_high_mining_seed07_reactive13_standard_dwb,crossing_flow_high_mining_seed07,crossing_flow,high,7,dwb,standard,TIMEOUT,1589,119.97990000000001,21.0,1.4736249446868896,19.52637505531311,0.8006895707442642,0.5414395928382874,724115a25ab7a899bd70686c98a937c41134f6c484551d0ae98e5e2aa8376c7c
crossing_flow_high_mining_seed08_reactive13_standard_dwb,crossing_flow_high_mining_seed08,crossing_flow,high,8,dwb,standard,COLLISION,571,30.3696,21.0,14.428030014038086,6.571969985961914,0.6880316110135993,0.6505005955696106,641e1634289272b7c5381f69d114c635914b0821a79bc36d92c5a9ec9b6ff10c
