episode_id,scenario_id,seed,source_policy,project_commit,outcome,sample_count,sim_duration_s,progress_m,actual_goal_distance_m,actual_goal_distance_source,max_localization_error_m,min_human_distance_m,min_lidar_m,recovery_actions,raw_sha256
blind_corner_high_train_s01320_264f061_bc_dagger_r1_dwb,blind_corner_high_train_s01320,1320,bc,264f0619d4baa0f82e752ccba7bc44ec3749742e,TIMEOUT,1801,179.9865,16.544846534729004,5.0884621638615295,outcome_terminal_snapshot,0.13928659295553264,1.7821165063551556,0.5554577112197876,931,d3746043a5b146ac4d062cf56023cf4ab03adad34cbe81238f8883381b70a157
blind_corner_high_train_s01320_5c26ace_bc_dagger_r1_dwb,blind_corner_high_train_s01320,1320,bc,5c26ace91dfff29210eac98b176e74e2d558501d,TIMEOUT,1801,179.9865,20.625874519348145,1.0074343267544357,outcome_terminal_snapshot,0.14027961826075658,1.1936443825616836,0.07999999821186066,895,afecec03e82af4ccbc50f59b2ac4960e30c30f0b609f996057fc34d22b2f304a
blind_corner_high_train_s01320_d5102f9_bc_dagger_r1_dwb,blind_corner_high_train_s01320,1320,bc,d5102f9b5e027ea1c4f0842da11843496ea5e3ca,GOAL_REACHED,1740,173.8926,21.423447012901306,0.1948969218789897,outcome_terminal_snapshot,0.12647141370748763,1.2850723129757256,0.3393172323703766,968,4e9cf272294c1a0edadf1d60e7fa4c6c6ece7d14b7d651bb0764ffc16c3798a5
