episode_id,scenario_id,seed,source_policy,outcome,sample_count,sim_duration_s,progress_m,min_human_distance_m,min_lidar_m,recovery_actions,raw_sha256
temporary_blockage_high_train_s01720_finite2_base_retry1_dwb,temporary_blockage_high_train_s01720,1720,base,PLANNER_FAILURE,736,73.4931,5.753586769104004,1.1801124441478248,0.2519051134586334,0,2e1412b30c3ab47625083264fe9ced84ebffdc2cbe00884d30549724d0d6b61e
temporary_blockage_high_train_s01720_finite2_heuristic_dwb,temporary_blockage_high_train_s01720,1720,heuristic,TIMEOUT,1200,119.91330000000002,7.728323936462402,1.1158491601895741,0.3739485442638397,759,e5a2ec9b756dcfd7a57338ec90c65ae04d6593cb235923e03fc5acc92770fee3
temporary_blockage_high_train_s01720_finite2_oracle_dwb,temporary_blockage_high_train_s01720,1720,oracle,GOAL_REACHED,1060,105.894,16.77893763780594,0.958728997445365,0.44463083148002625,273,3889fd656d05a5b10c78f37e72d48f31fbf1a41b92af59f30531ecad4b702f01
